date,cash,position_value,nav
2025-10-24,112681.9945,12344.9832,125026.9778
2025-10-27,112681.9945,12621.0747,125303.0692
2025-10-28,100190.7483,25436.5962,125627.3445
2025-10-29,100190.7483,25916.0453,126106.7935
2025-10-30,100190.7483,25006.4564,125197.2046
2025-10-31,100190.7483,25212.4337,125403.182
2025-11-03,100190.7483,25284.4947,125475.243
2025-11-04,100190.7483,24263.6598,124454.408
2025-11-05,100190.7483,24989.9444,125180.6927
2025-11-06,100190.7483,24435.4489,124626.1972
2025-11-07,112076.2084,12369.0649,124445.2733
2025-11-10,99974.2975,24937.3594,124911.6569
2025-11-11,99974.2975,24638.9421,124613.2395
2025-11-12,99974.2975,24739.863,124714.1605
2025-11-13,111306.9718,12530.1451,123837.1168
2025-11-14,111306.9718,12701.6817,124008.6535
2025-11-17,111306.9718,12634.7102,123941.682
2025-11-18,111306.9718,12293.6286,123600.6004
2025-11-19,98909.018,24129.6591,123038.6771
2025-11-20,98909.018,23678.2354,122587.2534
2025-11-21,98909.018,23296.6648,122205.6828
2025-11-24,86607.578,36918.1984,123525.7764
2025-11-25,86607.578,37309.7598,123917.3378
2025-11-26,86607.578,38167.4364,124775.0144
2025-11-28,86607.578,38681.2175,125288.7955
2025-12-01,86607.578,37841.4347,124449.0127
2025-12-02,86607.578,37854.5893,124462.1673
2025-12-03,86607.578,37197.7349,123805.3129
2025-12-04,86607.578,37370.2066,123977.7846
2025-12-05,86607.578,37800.1448,124407.7229
2025-12-08,86607.578,38567.8553,125175.4334
2025-12-09,74150.2473,51168.1555,125318.4028
2025-12-10,74150.2473,50983.9333,125134.1805
2025-12-11,74150.2473,50826.5012,124976.7485
2025-12-12,74150.2473,48478.7288,122628.9761
2025-12-15,62341.4557,59315.5419,121656.9976
2025-12-16,85868.885,36487.5615,122356.4465
2025-12-17,85868.885,35908.3229,121777.2079
2025-12-18,85868.885,36711.02,122579.905
2025-12-19,73748.9201,48805.0347,122553.9548
2025-12-22,61669.9311,61122.5247,122792.4557
2025-12-23,61669.9311,61702.4108,123372.3419
2025-12-24,61669.9311,61731.0671,123400.9981
2025-12-26,61669.9311,61594.1762,123264.1073
2025-12-29,61669.9311,60998.0853,122668.0164
2025-12-30,61669.9311,60866.6736,122536.6047
2025-12-31,73111.4976,49150.2456,122261.7432
2026-01-02,73111.4976,48532.9376,121644.4352
2026-01-05,97213.0373,24767.428,121980.4653
2026-01-06,97213.0373,25126.4612,122339.4984
2026-01-07,97213.0373,25283.2645,122496.3017
2026-01-08,97213.0373,25265.349,122478.3863
2026-01-09,97213.0373,25311.2397,122524.2769
2026-01-12,97213.0373,25268.2894,122481.3266
2026-01-13,97213.0373,25120.5963,122333.6335
2026-01-14,109517.6786,12542.45,122060.1286
2026-01-15,109517.6786,12623.54,122141.2186
2026-01-16,109517.6786,12673.36,122191.0386
2026-01-20,109517.6786,12243.0,121760.6786
2026-01-21,121918.3423,0.0,121918.3423
2026-01-22,97471.4887,24093.211,121564.6997
2026-01-23,97471.4887,24553.8852,122025.3739
2026-01-26,97471.4887,24396.19,121867.6787
2026-01-27,85415.1329,36724.3075,122139.4405
2026-01-28,85415.1329,37091.6028,122506.7358
2026-01-29,96366.0938,25041.1503,121407.2442
2026-01-30,96366.0938,24619.7432,120985.837
2026-02-02,96366.0938,24659.4598,121025.5536
2026-02-03,96366.0938,24109.9311,120476.025
2026-02-04,107732.1926,12019.1177,119751.3103
2026-02-05,95590.214,23977.9182,119568.1321
2026-02-06,83468.7373,37503.1,120971.8373
2026-02-09,83468.7373,38535.9823,122004.7196
2026-02-10,83468.7373,38633.2195,122101.9568
2026-02-11,83468.7373,38904.2193,122372.9566
2026-02-12,83468.7373,38167.9757,121636.713
2026-02-13,83468.7373,37860.6862,121329.4235
2026-02-17,83468.7373,37926.9652,121395.7025
2026-02-18,83468.7373,37974.179,121442.9163
2026-02-19,83468.7373,37916.4817,121385.2191
