date,cash,position_value,nav
2023-07-06,58483.5681,57262.8487,115746.4169
2023-07-07,58483.5681,57361.6307,115845.1988
2023-07-10,58483.5681,57145.2411,115628.8093
2023-07-11,58483.5681,57508.4919,115992.0601
2023-07-12,58483.5681,58619.5396,117103.1078
2023-07-13,58483.5681,59987.9524,118471.5206
2023-07-14,58483.5681,59963.3203,118446.8885
2023-07-17,58483.5681,60776.233,119259.8011
2023-07-18,58483.5681,61302.6573,119786.2254
2023-07-19,58483.5681,61106.1177,119589.6859
2023-07-20,66006.4455,51040.9969,117047.4424
2023-07-21,66006.4455,50568.4436,116574.8891
2023-07-24,66006.4455,50988.1343,116994.5798
2023-07-25,66006.4455,51584.4187,117590.8642
2023-07-26,66006.4455,50792.9963,116799.4417
2023-07-27,82725.7435,33982.1467,116707.8901
2023-07-28,82725.7435,34581.3255,117307.069
2023-07-31,82725.7435,34648.598,117374.3415
2023-08-01,82725.7435,34714.5543,117440.2978
2023-08-02,82725.7435,33417.1861,116142.9296
2023-08-03,82725.7435,33452.6724,116178.4159
2023-08-04,82725.7435,34107.1336,116832.8771
2023-08-07,82725.7435,34700.9877,117426.7311
2023-08-08,82725.7435,34142.3428,116868.0862
2023-08-09,107257.9656,8271.0,115528.9656
2023-08-10,107257.9656,8313.6,115571.5656
2023-08-11,107257.9656,8304.6,115562.5656
2023-08-14,107257.9656,8434.2,115692.1656
2023-08-15,107257.9656,8260.2,115518.1656
2023-08-16,107257.9656,8104.2,115362.1656
2023-08-17,107257.9656,8038.8,115296.7656
2023-08-18,107257.9656,7993.2,115251.1656
2023-08-21,107257.9656,8080.8,115338.7656
2023-08-22,107257.9656,8055.0,115312.9656
2023-08-23,107257.9656,8131.2,115389.1656
2023-08-24,107257.9656,7910.4,115168.3656
2023-08-25,107257.9656,7995.6,115253.5656
2023-08-28,107257.9656,7988.4,115246.3656
2023-08-29,107257.9656,8094.6,115352.5656
2023-08-30,107257.9656,8104.2,115362.1656
2023-08-31,107257.9656,8280.6,115538.5656
2023-09-01,107257.9656,8287.2,115545.1656
2023-09-05,107257.9656,8236.2,115494.1656
2023-09-06,107257.9656,8121.6,115379.5656
2023-09-07,107257.9656,8271.0,115528.9656
2023-09-08,107257.9656,8293.8,115551.7656
2023-09-11,107257.9656,8586.0,115843.9656
2023-09-12,107257.9656,8473.8,115731.7656
2023-09-13,107257.9656,8691.0,115948.9656
2023-09-14,107257.9656,8683.2,115941.1656
2023-09-15,107257.9656,8423.4,115681.3656
2023-09-18,107257.9656,8398.8,115656.7656
2023-09-19,107257.9656,8257.8,115515.7656
2023-09-20,115171.9907,0.0,115171.9907
2023-09-21,115171.9907,0.0,115171.9907
2023-09-22,115171.9907,0.0,115171.9907
2023-09-25,115171.9907,0.0,115171.9907
2023-09-26,115171.9907,0.0,115171.9907
2023-09-27,115171.9907,0.0,115171.9907
2023-09-28,115171.9907,0.0,115171.9907
2023-09-29,115171.9907,0.0,115171.9907
2023-10-02,115171.9907,0.0,115171.9907
2023-10-03,115171.9907,0.0,115171.9907
2023-10-04,115171.9907,0.0,115171.9907
2023-10-05,115171.9907,0.0,115171.9907
2023-10-06,115171.9907,0.0,115171.9907
2023-10-09,115171.9907,0.0,115171.9907
2023-10-10,115171.9907,0.0,115171.9907
2023-10-11,115171.9907,0.0,115171.9907
2023-10-12,115171.9907,0.0,115171.9907
2023-10-13,115171.9907,0.0,115171.9907
2023-10-16,115171.9907,0.0,115171.9907
2023-10-17,115171.9907,0.0,115171.9907
2023-10-18,115171.9907,0.0,115171.9907
2023-10-19,115171.9907,0.0,115171.9907
2023-10-20,115171.9907,0.0,115171.9907
2023-10-23,115171.9907,0.0,115171.9907
2023-10-24,115171.9907,0.0,115171.9907
2023-10-25,115171.9907,0.0,115171.9907
2023-10-26,115171.9907,0.0,115171.9907
2023-10-27,115171.9907,0.0,115171.9907
2023-10-30,115171.9907,0.0,115171.9907
2023-10-31,115171.9907,0.0,115171.9907
2023-11-01,115171.9907,0.0,115171.9907
2023-11-02,107297.3815,7842.7516,115140.1331
2023-11-03,107297.3815,7943.623,115241.0045
2023-11-06,107297.3815,8027.6074,115324.989
2023-11-07,107297.3815,8117.6712,115415.0527
2023-11-08,107297.3815,8177.7887,115475.1703
2023-11-09,107297.3815,8121.2737,115418.6553
2023-11-10,92879.549,22825.5548,115705.1039
2023-11-13,92879.549,22602.1309,115481.68
2023-11-14,92879.549,23065.382,115944.931
2023-11-15,92879.549,23079.0716,115958.6207
2023-11-16,92879.549,23086.295,115965.844
2023-11-17,92879.549,23158.8006,116038.3497
2023-11-20,85564.0729,30849.1056,116413.1784
2023-11-21,85564.0729,30457.4471,116021.52
2023-11-22,85564.0729,30334.2748,115898.3477
2023-11-24,85564.0729,30178.7166,115742.7895
2023-11-27,85564.0729,30010.2956,115574.3684
2023-11-28,85564.0729,30068.9473,115633.0201
2023-11-29,85564.0729,30053.7432,115617.8161
